,scores,common_scores,info,link
"""Избенка"", 25%",[],[],no info,https://roscontrol.com//product/izbenka-25/
"""Домик в деревне"", 25%",[],[],no info,https://roscontrol.com//product/domik-v-derevne-25/
"Масло сливочное ""Экомилк"" 82,5%","[86, 43, 80, 85]",[74],"Сливочное масло ""Экомилк"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"", не содержит немолочного жира. Массовая доля жира незначительно (в пределах погрешности) меньше указанной в маркировке.По органолептическим и физико-химическим показателям соответствует стандарту ГОСТ 32261-2013 и указанному в маркировке стандарту ГОСТ Р 52253-2004.Образец имеет хорошие органолептические показатели.Масло сливочное ""Экомилк"" 82,5% уже исследовалось Росконтролем в январе 2017 года и было занесено в Черный список за фальсификацию молочного жира. В настоящее время проблемы решены: в проверенных образцах содержится только молочный жир, что подтверждено протоколами из независимых лабораторий.",https://roscontrol.com//product/maslo-slivochnoie-ekomilk-82-5/
Сливочное масло Anchor 82%,"[86, 43, 65, 80]",[69],"Сливочное масло Anchor 82% по проверенным микробиологическим и физико-химическим показателям соответствует требованиям безопасности.Соответствует наименованию ""сливочное масло"". Соответствует указанной в маркировке массовой доле жира. Не содержит растительного жира. Не содержит крахмала. Не содержит консервантов. Хорошая консистенция и цвет масла. Содержание витамина В2 выше среднего значения для данной продукции. Источник витамина Е и А.Срок годности слишком большой для сливочного масла по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/anchor_82/
"Сливочное масло ""Брест-Литовск"" 82,5%","[82, 44, 85, 100]",[78],"Сливочное масло ""Брест-Литовск"" по проверенным микробиологическим и физико-химическим показателям соответствует требованиям безопасности.Фактов недостоверной маркировки не выявлено.Образец выработан в соответствии с СТБ 1890, ТИ BY 2000030514.155.Масло имеет благоприятные органолептические свойства. Соответствует заявленному наименованию и высшему сорту. Содержит только молочный жир. Не содержит консервантов сорбиновую и бензойную кислоту.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/slivochnoie-maslo-briest-litovsk-82-5/
"Сливочное масло ""Радость вкуса"" ""Традиционное"" 82,5%, высший сорт","[85, 43, 85, 67]",[70],"Масло сливочное ""Радость вкуса"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"", не содержит немолочного жира. Массовая доля жира незначительно (в пределах погрешности) меньше указанной в маркировке.По проверенным показателям соответствует указанному в маркировке стандарту ГОСТ Р 52253-2004.Во вкусе определена легкая мучнистость.Соответствует указанному в маркировке сорту. Высокий бал по органолептической оценке. ",https://roscontrol.com//product/slivochnoe-maslo-radost-vkusa-traditsionnoe-825-visshiy-sort/
"Сливочное вологодское масло ""Из Вологды"" 82,5%","[81, 41, 65, 74]",[65],"Масло сливочное ""Вологодское из Вологды"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"", не содержит немолочного жира.Требования ТУ неизвестны, однако данный образец по проверенным показателям соответствует указанному в маркировке стандарту ГОСТ 32261-2013.Высокое содержание транс-изомеров (за счет их естественного содержания в молочном жире) по сравнению со средними значениями для данного вида продукции. Консистенция — слегка рыхлая, сливочный вкус — недостаточно выраженный.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/iz-vologdi-825-vologodskoe/
"Топленое масло ""Молградъ""","[81, 40, 65, 73]",[65],"Масло топленое ""Молградъ"" cоответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.По органолептическим показателям частично не соответствует указанному в маркировке стандарту. Других фактов недостоверной маркировки не выявлено.Отмечен легкий посторонний (полимерный) запах и привкус. По остальным показателям соответствует стандарту.Содержит антиокислитель Е321 — бутилгидрокситолуол (указан в составе). Относительно высокое содержание транс-изомеров жирных кислот по сравнению со средними значениями для данного вида продукции (такое содержание возможно для натурального молочного жира).Состоит исключительно из молочного жира.",https://roscontrol.com//product/toplenoe-maslo-molgrad/
"""Вкуснотеево"" традиционное 82,5%","[82, 43, 85, 96]",[77],"Масло сливочное ""Вкуснотеево"" соответствует требованиям безопасности по микробиологическим и физико-химическим показателям.Фактов недостоверной маркировки не выявлено. Соответствует требованиям стандарта (ГОСТ 32261-2013), указанного в маркировке. Сорт соответствует указанному высшему. Соответствует заявленной жирности.Образец соответствует требованиям ГОСТ 32261-2013, указанному в маркировке по органолептическим и физико-химическим показателям. Соответствует высшему сорту. Имеет единственное и незначительное замечание к вкусу и запаху: образец со слабым сливочным запахом и вкусом, со слабовыраженным запахом и привкусом пастеризации.Масло имеет хорошие органолептические показатели. Низкая цена за единицу упаковки. Соответствует заявленным наименованию, высшему сорту, жирности и составу. Не содержит консерванты. ",https://roscontrol.com//product/maslo-slivochnoie-vkusnotieievo-traditsionnoie-82-5/
"Сливочное масло ""Белорусское"" ""Традиционное"" 82,5%","[86, 42, 80, 74]",[71],"Сливочное масло ""Белорусское"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"" и указанной в маркировке массовой доле жира, не содержит немолочного жира.По органолептическим и физико-химическим показателям соответствует стандарту ГОСТ 32261-2013 и указанному в маркировке СТБ 1890.Образец имеет хорошие органолептические показатели.",https://roscontrol.com//product/slivochnoe-maslo-belorusskoe-traditsionnoe-825/
"Сливочное масло Valuiki ""Традиционное"" 82,5%, высший сорт","[88, 43, 85, 57]",[68],"Сливочное масло Valuiki  соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"", не содержит немолочного жира. Массовая доля жира незначительно (в пределах погрешности) меньше указанной в маркировке.Небольшое замечание к консистенции. По остальным показателям качества соответствует указанному в маркировке стандарту ГОСТ 32261-2013.Образец имеет хорошие органолептические показатели. ",https://roscontrol.com//product/slivochnoe-maslo-valuiki-traditsionnoe-825-visshiy-sort/
"Сливочное масло ""Милава"" 82,5%","[88, 44, 85, 77]",[74],"По исследованным показателям образец соответствует требованиям безопасности. Микробиологические показатели продукта подтверждают его безопасность: показатели КМАФАнМ, дрожжей и плесени в пределах допустимых значений.Продукт соответствует заявленным в маркировке характеристикам. А также соответствует стандартам на соответствующий вид продукции. СТБ 1890-2008 (Беларусь) допускает 16 баллов для отнесения продукта к высшему сорту. По российскому стандарту (ГОСТ 32261) исследованный продукт был бы отнесен к первому сорту.Продукт обладает хорошей термоустойчивостью, но имеет замечания к органолептическим показателям: слабый кормовой привкус, консистенция слабо пластичная.Росконтроль уже проводил экспертизу масла ""Милава"" в 2015 году. Нареканий выявлено не было.",https://roscontrol.com//product/slivochnoe-maslo-milava/
"Сливочное масло ""Радость вкуса"" Крестьянское 72,5%","[69, 44, 100, 65]",[70],"Масло сливочное ""Крестьянское"", массовая доля жира 72,5%, выпускается под брендом ""Радость вкуса"" в Волгоградской области по ГОСТ Р 52969-2008.Результаты лабораторных исследований жирнокислотного состава жировой фазы сливочного масла показали, что масло сделано действительно из сливок, без добавления растительных жиров. Массовая доля жира соответствует заявленной в маркировке — 75±1,2%.Масло также проверили на содержание консервантов: сорбиновой и бензойной кислоты не обнаружено. Антибиотики тетрациклиновой группы, стрептомицин, пенициллин также не выявлены. По показателю КМАФАнМ (общая микробная обсемененность) образец соответствует требованиям безопасности. Отсутствуют опасные и патогенные микроорганизмы.",https://roscontrol.com//product/radost-vkusa/
"Сливочное масло Belorus Export высшего сорта  82,5%","[73, 43, 95, 54]",[66],"Масло сладкосливочное несоленое, массовая доля жира 82,5%, выпускается под брендом Belorus Export в Республике Беларусь по ТИ BY 500043093-208 СТБ 1890.Результаты лабораторных исследований жирнокислотного состава жировой фазы сливочного масла показали, что масло сделано действительно из сливок, без добавления растительных жиров. Массовая доля жира — 83±1%. Это чуть больше, чем заявлено в маркировке: производитель не пожалел дорогостоящего компонента — молочного жира. Масло также проверили на содержание консервантов: сорбиновой и бензойной кислоты не обнаружено. Антибиотики тетрациклиновой группы, стрептомицин, пенициллин также не выявлены. По показателю КМАФАнМ (общая микробная обсемененность) образец соответствует требованиям безопасности. Отсутствуют опасные и патогенные микроорганизмы.",https://roscontrol.com//product/export-belorus/
"Сливочное масло ""Лакомо"" Традиционное высшего сорта 82,5%","[58, 43, 100, 51]",[63],"Масло сливочное ""Традиционное"", массовая доля жира 82,5%, выпускается под брендом ""Лакомо"" в Ростове-на-Дону по ГОСТ Р 52969-2008. Результаты лабораторных исследований жирнокислотного состава жировой фазы сливочного масла показали, что масло сделано действительно из сливок, без добавления растительных жиров. Массовая доля жира соответствует заявленной в маркировке — 82±1%.Масло также проверили на содержание консервантов: сорбиновой и бензойной кислоты не обнаружено. Антибиотики тетрациклиновой группы, стрептомицин, пенициллин также не обнаружены. По показателю КМАФАнМ (общая микробная обсемененность) образец соответствует требованиям безопасности. Отсутствуют опасные и патогенные микроорганизмы.",https://roscontrol.com//product/lakomo/
Сливочное масло Lurpak 82%,"[69, 43, 80, 82]",[69],"Сладко-сливочное масло Lurpack произведено в Дании по техническим условиям предприятия-изготовителя. Оценка проводилась на предмет соответствия продукта ГОСТ Р 52253-2004 «Масло и паста масляная из коровьего молока. Общие технические условия».Органолептические показатели образца - в норме (характерный для кислосливочного масла вкус и запах, без посторонних привкусов и запахов).Срок годности этого сливочного масла - 6 месяцев, что превышает рекомендуемый ГОСТом срок хранения в 5 раз.Результаты лабораторных исследований жирнокислотного состава жировой фазы продукта показали, что он изготовлен из сливок, без добавления растительных жиров. Массовая доля жира соответствует указанной на этикетке - 82%.",https://roscontrol.com//product/lurpack_82/
Сливочное масло Valio Традиционное  82%,"[63, 43, 80, 73]",[65],"Кисло-сливочное масло Valio произведено в Финляндии по техническим условиям предприятия-изготовителя. Оценка проводилась на предмет соответствия продукта ГОСТ Р 52253-2004 «Масло и паста масляная из коровьего молока. Общие технические условия».Органолептические показатели образца не соответствуют стандартам - масло оказалось слишком кислым (даже с учетом его категории - кисло-сливочное). При лабораторных испытаниях выявлено превышение показателя ""титруемая кислотность молочной плазмы"" на 10,5 оТ, что может свидетельствовать о процессе скисания, вероятно, вследствие несоблюдения температурного режима хранения. Этот факт подтверждает и наиболее высокий показатель перекисного числа по сравнению с другими образцами.Срок годности этого сливочного масла - 8 месяцев, что превышает рекомендуемый ГОСТом срок хранения в 7 раз.Результаты лабораторных исследований жирнокислотного состава жировой фазы продукта показали, что он изготовлен из сливок, без добавления растительных жиров. Массовая доля жира соответствует указанной на этикетке - 82%.",https://roscontrol.com//product/valio_82/
"Сливочное масло ""Доярушка"" 82,5%","[76, 43, 95, 72]",[72],"Сладко-сливочное несоленое масло производится в г.Санкт-Петербурге (по лицензии и под контролем новозеландской компании - проиводителя масла Anchor) по ГОСТ Р 52253-2004.Срок годности даного масла - 2 месяца, что превышает рекомендуемый срок хранения по ГОСТ.По органолептическим показателям образец отвечает требованиям (выраженный вкус и запах пастеризованных сливок, без посторонних привкусов и запахов).Результаты лабораторных исследований жирнокислотного состава жировой фазы сливочного масла показали, что масло сделано действительно из сливок, без добавления растительных жиров. Массовая доля жира незначительно выше указанной на упаковке - 83,9.Эксперты отметили повышенный уровень безопасности данного сливочного масла. У него самый низкий показатель кислотности жировой фазы (1,2) по сравнению с остальными образцами, один из самых низких показателей массовой доли влаги (14,6%), что говорит о том, что продукт является самым безопасным из проверенных.",https://roscontrol.com//product/doyarushka_825/
"Сливочное масло ""Из Вологды"" ""Крестьянское""  72,5%, высший сорт","[83, 44, 85, 29]",[60],"Масло ""Из Вологды"" соответствует требованиям безопасности по микробиологическим и физико-химическим показателям.Не соответствует требованиям стандарта (ГОСТ 32261-2013), указанного в маркировке и заявленному на этикетке высшему сорту по консистенции и внешнему виду — фактический сорт первый. Других фактов недостоверной маркировки не выявлено.Образец соответствует требованиям ГОСТ 32261-2013, указанному в маркировке по физико-химическим показателям. По органолептическим показателям не соответствует указанному в маркировке высшему сорту по консистенции и внешнему виду — фактический сорт первый. Также образец имеет незначительные недостатки вкуса и запаха: слабый сливочный, с легким привкусом пастеризации.Высокая цена за 1 кг продукции по сравнению со средними значениями для данного вида продукции.Образец содержит только молочный жир. Соответствует заявленному уровню жирности.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/iz-vologdi-725-krestyanskoe/
"Сливочное масло ""Сыробогатов"" Традиционное 82,5%",[],[0],"Образец имеет расхождение по фактическому содержанию пальмитолеиновой и линолевой жирных кислот (ниже допустимого уровня), с допустимыми для молочного жира значениями, указанными в ГОСТ 32261-2013 (указан в маркировке образца) и высокий уровень прочих жирных кислот, вероятна примесь животных жиров немолочного происхождения. Содержание транс-изомеров жирных кислот не характерно для молочного жира (сравнительно с другими образцами высокое).",https://roscontrol.com//product/sirobogatov-traditsionnoe-825/
"Сливочное масло ""Главмаслопром"", 82,5%","[88, 42, 84, 63]",[69],"Масло сливочное ""Главмаслопром"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"", не содержит немолочного жира.По проверенным показателям соответствует указанному в маркировке стандарту ГОСТ 32261-2013.Не соответствует указанному в маркировке высшему сорту по органолептическим показателям, установленным ГОСТ 32261-2013. По органолептическим показателям соответствует первому сорту.Вкус невыраженный, с легкой мучнистостью.",https://roscontrol.com//product/slivochnoe-maslo-glavmasloprom-825/
"Сливочное масло ""Залесский фермер"", 82,5%","[83, 42, 85, 52]",[66],"Масло сливочное ""Залесский фермер"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Не соответствует наименованию ""сливочное масло традиционное"": массовая доля жира на 2,5% меньше, при этом влаги больше установленной нормы. Не соответствует маркировке по данному показателю.Массовая доля жира в данном образце меньше, чем предусмотрено ГОСТ 32261-2013 для масла сливочного традиционного.Сливочный вкус — недостаточно выраженный.Масло имеет удовлетворительные результаты органолептической оценки: соответствует указанному в маркировке высшему сорту. Не содержит немолочного жира.",https://roscontrol.com//product/slivochnoe-maslo-zalesskiy-fermer-825/
"Сливочное масло ""Искренне Ваш"" ""Традиционное"" 82,5%","[79, 41, 70, 41]",[58],"Масло сливочное ""Искренне ваш"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"", не содержит немолочного жира.Не указан сорт в маркировке, что является нарушением ГОСТ 32261-2013, по которому выпускается это масло. По полученным результатам соответствует первому сорту.Отмечено существенное отклонение от характерного для молочного жира жирнокислотного состава по массовой доле пальмитиновой кислоты (С16:0) — вероятна небольшая примесь немолочного жира.Вкус невыраженный, с легкой мучнистостью в послевкусии.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/slivochnoe-maslo-iskrenne-vash-traditsionnoe-825/
"Топленое масло ""Починки""","[79, 40, 75, 43]",[59],"Масло топленое ""Починки"" cоответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.По органолептическим показателям частично не соответствует указанному в маркировке стандарту. Других фактов недостоверной маркировки не выявлено.Кислотность жировой фазы (показатель окислительной порчи) существенно выше установленного указанным в маркировке стандартом максимального значения. Существенные замечания к органолептическим показателям: легкий посторонний (полимерный) запах и привкус. По остальным показателям соответствует стандарту.Жирнокислотный состав масла имеет небольшие отклонения от характерных для молочного жира значений показателей: вероятна небольшая примесь немолочного жира животного происхождения (например, говяжьего). Не содержит растительных жиров. Состоит преимущественно из молочного жира. ",https://roscontrol.com//product/toplenoe-maslo-pochinki/
"Топленое масло ""Избёнка""","[80, 40, 75, 40]",[59],"Масло топленое ""Избенка"" cоответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Жирнокислотный состав масла имеет небольшие отклонения от характерных для молочного жира значений показателей: вероятна небольшая примесь немолочного жира животного происхождения (например, говяжьего).Кислотность жировой фазы (показатель окислительной порчи) значительно выше установленного стандартом максимального значения (образец выработан по ТУ). Существенные замечания к органолептическим показателям: запах и привкус окисленного жира. По остальным показателям соответствует стандарту.Не содержит растительных жиров. Состоит преимущественно из молочного жира. ",https://roscontrol.com//product/toplenoe-maslo-izbnka/
"Топленое масло ""ВкусВилл""","[80, 40, 75, 48]",[61],"Масло топленое ""ВкусВилл"" cоответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Жирнокислотный состав масла имеет небольшие отклонения от характерных для молочного жира значений показателей: вероятна небольшая примесь немолочного жира животного происхождения (например, говяжьего).Существенные замечания к органолептическим показателям: размягченная консистенция, легкий посторонний (полимерный, рыбный) запах и привкус. По остальным показателям соответствует стандарту.Не содержит растительных жиров. Состоит преимущественно из молочного жира. Низкие значения показателей окислительной порчи по сравнению со средними значениями для данного вида продукции. ",https://roscontrol.com//product/toplenoe-maslo-vkusvill/
Топленое масло President,"[91, 40, 65, 45]",[60],"Масло топленое President cоответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.По органолептическим показателям частично не соответствует указанному в маркировке стандарту. Других фактов недостоверной маркировки не выявлено.Существенные замечания к органолептическим показателям: запах и привкус окисленного жира, слегка рыхлая консистенция. По остальным показателям соответствует стандарту.Относительно высокое значение кислотности жировой фазы (в допустимых стандартом пределах) по сравнению со средними значениями для данного вида продукции.Состоит исключительно из молочного жира.",https://roscontrol.com//product/toplenoe-maslo-president/
"Сливочное масло ""Рузское"" Традиционное 82,5%","[83, 43, 85, 53]",[66],"Масло сливочное ""Рузское"" соответствует требованиям безопасности по микробиологическим и физико-химическим показателям.Не соответствует требованиям стандарта (ГОСТ 32261-2013), указанного в маркировке и не соответствует указанному на этикетке высшему сорту по консистенции и внешнему виду масла — фактический сорт первый. Массовая доля жира ниже (на 0,61%), чем указано в маркировке. С учетом прибавления погрешности метода соответствует заявленной жирности. По органолептическим показателям образец не соответствует требованиям ГОСТ 32261-2013 (указан в маркировке) к маслу традиционному сливочному высшего сорта. Вкус и запах образца имеют замечания: со слабым сливочным запахом и вкусом, со слабовыраженным запахом и привкусом пастеризации с легкой мучнистостью во вкусе. По остальным показателям образец соответствует требованиям указанного стандарта.В образце содержится только молочный жир. Не содержит сорбиновую и бензойную кислоты.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/ruzskoe-825/
"Сливочное масло ""Останкинское"" ""Традиционное"" 82,5%","[79, 43, 75, 30]",[57],"Масло сливочное ""Останкинское"" соответствует требованиям безопасности по микробиологическим и физико-химическим показателям. Обнаружено присутствие консерванта сорбиновой кислоты в небольшом количестве (недействующая концентрация), что позволяет считать его случайной примесью. Тем не менее, использование консервантов не допускается ТР ТС 029/2012 для масла сливочного. Не соответствует требованиям стандарта (ГОСТ 32261-2013), указанного в маркировке и заявленному на этикетке высшему сорту по вкусу и запаху — фактический сорт первый.Массовая доля жира ниже на 0,61%, чем указано в маркировке. С учетом прибавления погрешности метода соответствует заявленной жирности.По органолептическим показателям (вкус невыраженный, с легкой мучнистостью) образец не соответствует требованиям ГОСТ 32261-2013 (указан в маркировке) к маслу традиционному сливочному высшего сорта. Показатель термоустойчивости соответствует стандарту только с учетом прибавления погрешности метода определения, без погрешности образец является несортовым. По остальным показателям образец соответствует требованиям указанного стандарта.В образце содержится только молочный жир. ",https://roscontrol.com//product/slivochnoe-maslo-ostankinskoe-traditsionnoe-825/
"Сливочное масло ""Простоквашино"" ""Традиционное"" 82%, высший сорт","[88, 43, 85, 58]",[69],"Сливочное масло ""Простоквашино"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Массовая доля жира не соответствует маркировке (на 1,5% меньше указанной в маркировке).Существеные замечания к органолептическим показателям — не соответствует указанному в маркировке высшему сорту (соответствует первому). По физико-химическим показателям соответствует ГОСТ 32261-2013 (требования ТУ, указанных в маркировке, неизвестны).",https://roscontrol.com//product/slivochnoe-maslo-prostokvashino-traditsionnoe-82-visshiy-sort/
"Масло сливочное ""Князь Вежич"" ""Традиционное"" 82.5%, высший сорт","[88, 43, 85, 52]",[67],"Сливочное масло ""Князь Вежич"" соответствует требованиям безопасности по проверенным микробиологическим и физико-хомическим показателям.Соответствует наименованию ""сливочное масло"" и указанной в маркировке массовой доле жира, не содержит немолочного жира.Образец имеет существеные замечания к органолептическим показателям — не соответствует указанному в маркировке высшему сорту (соответствует первому). По физико-химическим показателям соответствует ГОСТ 32261-2013 и указанному в маркировке СТБ 1890.",https://roscontrol.com//product/maslo-slivochnoie-kniaz-viezhich-82-5-180gh/
"Сливочное масло ""Вологодское лето"" ""Традиционное"" 82,5%, высший сорт","[88, 43, 85, 65]",[70],"Сливочное масло ""Вологодское лето"" соответствует требованиям безопасности по проверенным микро-биологическим и физико-химическим показателям.Соответствует наименованию ""сливочное масло"" и указанной в маркировке массовой доле жира, не содержит немолочного жира. Существенные замечания к органолептическим показателям — не соответствует указанному в маркировке высшему сорту (соответствует первому). По физико-химическим показателям соответствует указанному в маркировке стандарту ГОСТ 32261-2013.Образец имеет относительно низкие показатели окислительной порчи жира.",https://roscontrol.com//product/slivochnoe-maslo-vologodskoe-leto-traditsionnoe-825-visshiy-sort/
"Сливочное масло ""Милье"" ""Традиционное"" 82,5%, высший сорт","[89, 43, 85, 57]",[69],"Сливочное масло ""Милье"" соответствует требованиям безопасности по проверенным микро-биологическим и физико-хомическим показателям.Соответствует наименованию ""сливочное масло"" и указанной в маркировке массовой доле жира. Не содержит немолочного жира.Имеются существеные замечания к органолептическим показателям — не соответствует указанному в маркировке высшему сорту (соответствует первому). По физико-химическим показателям соответствует указанному в маркировке стандарту ГОСТ 32261-2013, кроме показателя термоустойчивости, которые незначительно меньше минимально допустимого.",https://roscontrol.com//product/slivochnoe-maslo-mile-traditsionnoe-825-visshiy-sort/
